Pin,Label
PF2,RESET_PIX
PF1,RESET_ROW
PF0,LOAD_ROW
PC15,DINROW_0
PC14,DINROW_1
PC13,DINROW_2
PE6,DINROW_3
PE5,DINROW_4
PE4,DINROW_5
PE3,RESET_COL
PE2,LOAD_COL
PE1,DINCOL_0
PE0,DINCOL_1
PB9,DINCOL_2
PB8,DINCOL_3
PB2,DINCOL_4
PF11,DINCOL_5
PF12,SEL_PARITY
